country,variation
Afghanistan,92.0128
Albania,45.1807
Algeria,83.2647
Angola,113.6364
Argentina,39.5853
Armenia,50.495
Australia,37.8325
Austria,30.5699
Azerbaijan,57.8616
Bahamas,133.3333
Bahrain,66.6667
Bangladesh,103.9124
Barbados,66.6667
Belarus,21.7602
Belgium,23.3422
Belize,100.0
Benin,80.2632
Bhutan,100.0
Bolivia,14.8936
Bosnia Herzegovina,14.0541
Botswana,67.1875
Brazil,67.2578
Brunei Darussalam,77.7778
Bulgaria,5.4567
Burkina Faso,92.5373
Burundi,102.7778
CÃ´te d'Ivoire,84.8649
Cambodia,78.0488
Cameroon,86.9369
Canada,60.8145
Cape Verde,133.3333
Central African Republic,56.6667
Chad,84.6154
Chile,66.6901
China,69.557
Colombia,76.0602
Comoros,50.0
"Congo, Democratic Republic of",84.6561
"Congo, Republic of",88.4615
Costa Rica,82.7004
Croatia,11.7647
Cuba,37.6157
Cyprus,67.027
Czechia,14.4714
Denmark,26.1077
Djibouti,88.8889
Dominican Republic,41.0714
Ecuador,87.9032
Egypt,75.4219
El Salvador,51.2397
Equatorial Guinea,160.0
Eritrea,70.2703
Estonia,3.7879
Eswatini,64.0
Ethiopia,90.5405
Fiji,66.6667
Finland,22.5225
France (metropolitan),30.4194
"France, Guadeloupe",36.3636
"France, La RÃ©union",45.0
"France, Martinique",25.0
French Guyana,69.2308
French Polynesia,60.0
Gabon,88.8889
Gaza Strip and West Bank,89.6552
Georgia,11.1639
Germany,20.2765
Ghana,82.8947
Greece,20.4941
Guatemala,71.1475
Guinea,74.7059
Guinea-Bissau,84.2105
Guyana,0.0
Haiti,32.3944
Honduras,71.7949
Hungary,8.8905
Iceland,49.3827
India,66.782
Indonesia,69.163
Iran (Islamic Republic of),109.3215
Iraq,115.4167
Ireland,60.6623
Israel,42.9363
Italy,14.2909
Jamaica,35.8974
Japan,18.3395
Jordan,105.5556
Kazakhstan,45.8984
Kenya,90.5433
Korea (Democratic People Republic of),36.6379
Kuwait,146.1538
Kyrgyzstan,81.5951
Lao People's Democratic Republic,79.7101
Latvia,-6.4516
Lebanon,46.0123
Lesotho,28.9474
Liberia,66.0
Libya,92.1053
Lithuania,0.9063
Luxembourg,55.9028
Madagascar,91.1308
Malawi,95.7187
Malaysia,94.8805
Maldives,100.0
Mali,88.3178
Malta,50.0
Mauritania,74.4681
Mauritius,44.4444
Mexico,83.9614
Moldova,-8.4175
Mongolia,141.9355
Montenegro,25.5319
Morocco,60.0
Mozambique,78.9655
Myanmar,49.8792
Namibia,73.2824
Nepal,51.3514
New Caledonia,90.9091
New Zealand,39.2536
Nicaragua,67.9487
Niger,95.0276
Nigeria,72.4228
North Macedonia,57.3333
Norway,39.4893
Oman,100.0
Pakistan,75.7168
Panama,85.6115
Papua New Guinea,113.4529
Paraguay,62.5899
Peru,67.0802
Philippines,62.963
Poland,36.4469
Portugal,21.3201
Puerto Rico,38.9881
Qatar,71.4286
Republic of Korea,78.7181
Romania,12.5744
Russian Federation,10.8274
Rwanda,83.0882
Saint Lucia,0.0
Samoa,0.0
Sao Tome and Principe, 0.0
Saudi Arabia,134.1463
Senegal,91.133
Serbia,6.4777
Sierra Leone,100.0
Singapore,122.9592
Slovakia,44.8507
Slovenia,21.987
Solomon Islands,50.0
Somalia,86.25
South Africa,72.6548
South Sudan,59.6154
Spain,34.2652
Sri Lanka,54.1284
Sudan,74.9304
Suriname,55.5556
Sweden,28.1196
Switzerland,41.1335
Syrian Arab Republic,141.2322
TÃ¼rkiye,58.9038
Tajikistan,92.8571
"Tanzania, United Republic of",109.5238
Thailand,88.6569
The Netherlands,29.8706
The Republic of the Gambia,100.0
Timor-Leste,50.0
Togo,81.6514
Trinidad and Tobago,85.7143
Tunisia,77.5424
Turkmenistan,86.1635
Uganda,87.8116
Ukraine,10.5777
United Arab Emirates,117.9487
United Kingdom,28.9828
United States of America,48.3053
Uruguay,16.8576
Uzbekistan,81.2977
Vanuatu,0.0
Venezuela,79.7494
Viet Nam,71.9844
Yemen,104.3103
Zambia,107.7922
Zimbabwe,80.5634
